RECORDING_SESSION_LABEL,sentence,word_complex,preview,condition,CURRENT_FIX_INDEX,CURRENT_FIX_INTEREST_AREA_ID,CURRENT_FIX_INTEREST_AREA_RUN_ID,CURRENT_FIX_X,,
05wyh,32,LC,TP,LC_TP,3,1,1,272.7,,0
05wyh,32,LC,TP,LC_TP,4,1,1,355,,1
05wyh,32,LC,TP,LC_TP,5,4,1,461.1,,1
05wyh,32,LC,TP,LC_TP,6,3,1,436,,1
05wyh,32,LC,TP,LC_TP,7,5,1,555,,0
05wyh,32,LC,TP,LC_TP,8,5,1,663.4,,0
05wyh,32,LC,TP,LC_TP,9,5,1,716.2,,1
05wyh,32,LC,TP,LC_TP,10,1,2,304.9,,0
05wyh,32,LC,TP,LC_TP,11,1,2,181,,0
05wyh,105,HC,JL,HC_JL,1,1,1,131.8,,1
05wyh,105,HC,JL,HC_JL,2,2,1,246.3,,1
05wyh,105,HC,JL,HC_JL,3,1,2,179.8,,1
05wyh,105,HC,JL,HC_JL,4,2,2,264.9,,1
05wyh,105,HC,JL,HC_JL,5,3,1,306.1,,1
05wyh,105,HC,JL,HC_JL,6,1,3,200.1,,1
05wyh,105,HC,JL,HC_JL,7,5,1,352.7,,0
05wyh,105,HC,JL,HC_JL,8,5,1,470.3,,0
05wyh,105,HC,JL,HC_JL,9,5,1,425.7,,0
05wyh,105,HC,JL,HC_JL,10,5,1,461.4,,0
05wyh,105,HC,JL,HC_JL,11,5,1,572.1,,0
05wyh,105,HC,JL,HC_JL,12,5,1,659.7,,0
05wyh,105,HC,JL,HC_JL,13,5,1,678.2,,1
05wyh,51,LC,JH,LC_JH,1,1,1,131.9,,0
05wyh,51,LC,JH,LC_JH,2,1,1,210.8,,0
05wyh,51,LC,JH,LC_JH,3,1,1,309.1,,0
05wyh,51,LC,JH,LC_JH,4,1,1,244.8,,0
05wyh,51,LC,JH,LC_JH,5,1,1,352.3,,0
05wyh,51,LC,JH,LC_JH,6,1,1,370.3,,1
05wyh,51,LC,JH,LC_JH,7,3,1,489.3,,1
05wyh,51,LC,JH,LC_JH,8,1,2,433.9,,1
05wyh,51,LC,JH,LC_JH,9,5,1,574.7,,0
05wyh,51,LC,JH,LC_JH,10,5,1,660.8,,1
05wyh,51,LC,JH,LC_JH,11,1,3,178,,0
05wyh,51,LC,JH,LC_JH,12,1,3,244.7,,0
05wyh,114,HC,JH,HC_JH,1,1,1,126,,0
05wyh,114,HC,JH,HC_JH,2,1,1,243.3,,0
05wyh,114,HC,JH,HC_JH,3,1,1,199.2,,0
05wyh,114,HC,JH,HC_JH,4,1,1,292.7,,0
05wyh,114,HC,JH,HC_JH,5,1,1,349.1,,1
05wyh,114,HC,JH,HC_JH,6,2,1,435.1,,1
05wyh,114,HC,JH,HC_JH,7,4,1,479.1,,1
05wyh,114,HC,JH,HC_JH,8,5,1,526.6,,0
05wyh,114,HC,JH,HC_JH,9,5,1,594.8,,1
05wyh,114,HC,JH,HC_JH,10,4,2,488.7,,1
05wyh,114,HC,JH,HC_JH,11,5,2,524.6,,0
05wyh,114,HC,JH,HC_JH,12,5,2,625.4,,1
05wyh,42,LC,JL,LC_JL,1,1,1,125.3,,0
05wyh,42,LC,JL,LC_JL,2,1,1,201.8,,1
05wyh,42,LC,JL,LC_JL,3,4,1,323.4,,1
05wyh,42,LC,JL,LC_JL,4,3,1,287.3,,1
05wyh,42,LC,JL,LC_JL,5,5,1,438.1,,0
05wyh,42,LC,JL,LC_JL,6,5,1,490,,0
05wyh,42,LC,JL,LC_JL,7,5,1,610.6,,0
05wyh,42,LC,JL,LC_JL,8,5,1,505,,0
05wyh,42,LC,JL,LC_JL,9,5,1,638.6,,1
05wyh,126,HC,JH,HC_JH,1,1,1,134.7,,0
05wyh,126,HC,JH,HC_JH,2,1,1,208.9,,0
05wyh,126,HC,JH,HC_JH,3,1,1,296.5,,0
05wyh,126,HC,JH,HC_JH,4,1,1,358.5,,0
05wyh,126,HC,JH,HC_JH,5,1,1,422.4,,1
05wyh,126,HC,JH,HC_JH,6,4,1,515.7,,1
05wyh,126,HC,JH,HC_JH,7,5,1,569.4,,0
05wyh,126,HC,JH,HC_JH,8,5,1,614.5,,0
05wyh,126,HC,JH,HC_JH,9,5,1,705.5,,1
05wyh,126,HC,JH,HC_JH,10,1,2,185.6,,0
05wyh,30,LC,TP,LC_TP,1,1,1,124.2,,0
05wyh,30,LC,TP,LC_TP,2,1,1,204.5,,0
05wyh,30,LC,TP,LC_TP,3,1,1,292.1,,1
05wyh,30,LC,TP,LC_TP,4,4,1,385.6,,1
05wyh,30,LC,TP,LC_TP,5,5,1,415,,0
05wyh,30,LC,TP,LC_TP,6,5,1,554.3,,0
05wyh,30,LC,TP,LC_TP,7,5,1,445.5,,0
05wyh,30,LC,TP,LC_TP,8,5,1,615.3,,1
05wyh,110,HC,JL,HC_JL,1,1,1,125.2,,0
05wyh,110,HC,JL,HC_JL,2,1,1,194.6,,0
05wyh,110,HC,JL,HC_JL,3,1,1,310.8,,0
05wyh,110,HC,JL,HC_JL,4,1,1,351.3,,0
05wyh,110,HC,JL,HC_JL,5,1,1,374.4,,1
05wyh,110,HC,JL,HC_JL,6,3,1,502.7,,1
05wyh,110,HC,JL,HC_JL,7,5,1,637.3,,0
05wyh,110,HC,JL,HC_JL,8,5,1,728.8,,1
05wyh,50,LC,JH,LC_JH,1,1,1,112.5,,0
05wyh,50,LC,JH,LC_JH,2,1,1,200.5,,1
05wyh,50,LC,JH,LC_JH,3,3,1,348.9,,1
05wyh,50,LC,JH,LC_JH,4,1,2,272,,1
05wyh,50,LC,JH,LC_JH,5,2,1,326.7,,1
05wyh,50,LC,JH,LC_JH,6,5,1,456.7,,1
05wyh,50,LC,JH,LC_JH,7,4,1,401.8,,1
05wyh,50,LC,JH,LC_JH,8,5,2,535.3,,0
05wyh,50,LC,JH,LC_JH,9,5,2,610.3,,0
05wyh,50,LC,JH,LC_JH,10,5,2,672.7,,0
05wyh,50,LC,JH,LC_JH,11,5,2,710,,1
05wyh,50,LC,JH,LC_JH,12,1,3,212.5,,0
05wyh,101,HC,JL,HC_JL,1,1,1,121.6,,0
05wyh,101,HC,JL,HC_JL,2,1,1,234.8,,1
05wyh,101,HC,JL,HC_JL,3,2,1,301.6,,1
05wyh,101,HC,JL,HC_JL,4,5,1,425.5,,1
05wyh,101,HC,JL,HC_JL,5,3,1,326.2,,1
05wyh,101,HC,JL,HC_JL,6,5,2,443.3,,0
05wyh,101,HC,JL,HC_JL,7,5,2,490.1,,1
05wyh,101,HC,JL,HC_JL,8,1,2,271.9,,1
05wyh,101,HC,JL,HC_JL,9,4,1,340,,1
05wyh,101,HC,JL,HC_JL,10,1,3,216.4,,1
05wyh,101,HC,JL,HC_JL,11,5,3,449.1,,0
05wyh,101,HC,JL,HC_JL,12,5,3,496.5,,0
05wyh,101,HC,JL,HC_JL,13,5,3,592.3,,0
05wyh,101,HC,JL,HC_JL,14,5,3,481.3,,0
05wyh,101,HC,JL,HC_JL,15,5,3,555.8,,0
05wyh,101,HC,JL,HC_JL,16,5,3,661.6,,1
05wyh,74,HC,ID,HC_ID,1,1,1,122.1,,0
05wyh,74,HC,ID,HC_ID,2,1,1,191.2,,0
05wyh,74,HC,ID,HC_ID,3,1,1,126.8,,0
05wyh,74,HC,ID,HC_ID,4,1,1,218,,0
05wyh,74,HC,ID,HC_ID,5,1,1,324.5,,0
05wyh,74,HC,ID,HC_ID,6,1,1,283.7,,0
05wyh,74,HC,ID,HC_ID,7,1,1,428.2,,1
05wyh,74,HC,ID,HC_ID,8,2,1,502.2,,1
05wyh,74,HC,ID,HC_ID,9,4,1,561.2,,1
05wyh,74,HC,ID,HC_ID,10,5,1,639,,1
05wyh,74,HC,ID,HC_ID,11,1,2,237.7,,0
05wyh,74,HC,ID,HC_ID,12,1,2,345.7,,0
05wyh,70,HC,ID,HC_ID,1,1,1,123.4,,1
05wyh,70,HC,ID,HC_ID,2,5,1,389.2,,1
05wyh,70,HC,ID,HC_ID,3,1,2,196.4,,0
05wyh,70,HC,ID,HC_ID,4,1,2,271.6,,0
05wyh,70,HC,ID,HC_ID,5,1,2,220.4,,1
05wyh,70,HC,ID,HC_ID,6,2,1,274.5,,1
05wyh,70,HC,ID,HC_ID,7,4,1,344.6,,1
05wyh,70,HC,ID,HC_ID,8,3,1,314.3,,1
05wyh,70,HC,ID,HC_ID,9,5,2,426.6,,0
05wyh,70,HC,ID,HC_ID,10,5,2,525.5,,0
05wyh,70,HC,ID,HC_ID,11,5,2,657.4,,0
05wyh,70,HC,ID,HC_ID,12,5,2,585.3,,0
05wyh,70,HC,ID,HC_ID,13,5,2,664.2,,0
05wyh,70,HC,ID,HC_ID,14,5,2,707.5,,1
05wyh,70,HC,ID,HC_ID,15,1,3,191.5,,0
05wyh,109,HC,JL,HC_JL,1,1,1,118.6,,0
05wyh,109,HC,JL,HC_JL,2,1,1,196.3,,0
05wyh,109,HC,JL,HC_JL,3,1,1,254.4,,0
05wyh,109,HC,JL,HC_JL,4,1,1,307.8,,0
05wyh,109,HC,JL,HC_JL,5,1,1,385.6,,1
05wyh,109,HC,JL,HC_JL,6,2,1,474.1,,1
05wyh,109,HC,JL,HC_JL,7,4,1,572.3,,1
05wyh,109,HC,JL,HC_JL,8,5,1,671.9,,1
05wyh,109,HC,JL,HC_JL,9,1,2,171.7,,0
05wyh,5,LC,ID,LC_ID,1,1,1,124.1,,0
05wyh,5,LC,ID,LC_ID,2,1,1,205.9,,0
05wyh,5,LC,ID,LC_ID,3,1,1,182.1,,0
05wyh,5,LC,ID,LC_ID,4,1,1,266.7,,1
05wyh,5,LC,ID,LC_ID,5,3,1,348.6,,1
05wyh,5,LC,ID,LC_ID,6,5,1,425.3,,0
05wyh,5,LC,ID,LC_ID,7,5,1,509.9,,0
05wyh,5,LC,ID,LC_ID,8,5,1,598.9,,0
05wyh,5,LC,ID,LC_ID,9,5,1,646.1,,1
05wyh,5,LC,ID,LC_ID,10,1,2,224.7,,1
05wyh,5,LC,ID,LC_ID,11,5,2,669.1,,1
05wyh,128,HC,JH,0,1,1,1,120,,0
05wyh,128,HC,JH,0,2,1,1,217,,0
05wyh,128,HC,JH,0,3,1,1,308.1,,1
05wyh,128,HC,JH,0,4,4,1,408.7,,1
05wyh,128,HC,JH,0,5,3,1,386.9,,1
05wyh,128,HC,JH,0,6,5,1,532.2,,0
05wyh,128,HC,JH,0,7,5,1,593,,0
05wyh,128,HC,JH,0,8,5,1,481.2,,0
05wyh,128,HC,JH,0,9,5,1,604.5,,1
05wyh,128,HC,JH,0,10,1,2,260.7,,0
05wyh,128,HC,JH,0,11,1,2,199.9,,0
05wyh,86,HC,TP,HC_TP,1,1,1,122.3,,0
05wyh,86,HC,TP,HC_TP,2,1,1,215.1,,0
05wyh,86,HC,TP,HC_TP,3,1,1,194.6,,0
05wyh,86,HC,TP,HC_TP,4,1,1,328.6,,1
05wyh,86,HC,TP,HC_TP,5,2,1,473.4,,1
05wyh,86,HC,TP,HC_TP,6,3,1,520.2,,1
05wyh,86,HC,TP,HC_TP,7,4,1,566.9,,1
05wyh,86,HC,TP,HC_TP,8,5,1,721.3,,1
05wyh,86,HC,TP,HC_TP,9,1,2,424.7,,1
05wyh,86,HC,TP,HC_TP,10,4,2,550.9,,1
05wyh,13,LC,ID,LC_ID,1,1,1,120.7,,0
05wyh,13,LC,ID,LC_ID,2,1,1,240.3,,1
05wyh,13,LC,ID,LC_ID,3,3,1,410.3,,1
05wyh,13,LC,ID,LC_ID,4,1,2,346.3,,1
05wyh,13,LC,ID,LC_ID,5,5,1,535.4,,0
05wyh,13,LC,ID,LC_ID,6,5,1,682,,0
05wyh,13,LC,ID,LC_ID,7,5,1,610.9,,1
05wyh,28,LC,TP,LC_TP,1,.,.,-69.8,,1
05wyh,28,LC,TP,LC_TP,2,2,1,216.9,,1
05wyh,28,LC,TP,LC_TP,3,1,1,188.7,,1
05wyh,28,LC,TP,LC_TP,4,4,1,290,,1
05wyh,28,LC,TP,LC_TP,5,3,1,243.1,,1
05wyh,28,LC,TP,LC_TP,6,4,2,297.1,,1
