"","RECORDING_SESSION_LABEL","sentence","CURRENT_FIX_INDEX","CURRENT_FIX_INTEREST_AREA_INDEX","CURRENT_FIX_INTEREST_AREA_RUN_ID","CURRENT_FIX_X"
"86","anxy",86,"10","3","1","543.4"
"87","anxy",87,"4","3","1","320.8"
"88","anxy",88,"6","3","1","288.2"
"89","anxy",89,"8","3","1","438.6"
"90","anxy",90,"15","4","1","561.3"
"91","anxy",91,"5","3","1","391.1"
"92","anxy",92,"5","3","1","379"
"93","anxy",93,"6","3","1","556.5"
"94","anxy",94,"6","3","1","309.2"
"95","anxy",95,"8","3","1","499.4"
"96","anxy",96,"5","4","1","405.1"
"97","anxy",97,"8","3","1","365"
"98","anxy",98,"5","3","1","400"
"99","anxy",99,"7","3","1","399.9"
"100","anxy",100,"6","3","1","445.1"
"101","anxy",101,"4","3","1","322.1"
"102","anxy",102,"5","3","1","342.7"
"103","anxy",103,"10","3","1","417.5"
"104","anxy",104,"5","3","1","387.6"
"105","anxy",105,"6","3","1","360.4"
"106","anxy",106,"10","3","1","496.8"
"107","anxy",107,"8","4","1","422.6"
"108","anxy",108,"9","3","1","543.7"
"109","anxy",109,"8","4","1","428.2"
"110","anxy",110,"5","3","1","397.6"
"111","anxy",111,"9","3","1","442.9"
"112","anxy",112,"6","4","1","530.3"
"113","anxy",113,"6","3","1","432.2"
"114","anxy",114,"5","3","1","447.6"
"115","anxy",115,"10","4","1","540.3"
"116","anxy",116,"5","3","1","292.5"
"117","anxy",117,"5","4","1","422"
"118","anxy",118,"10","4","1","423.4"
"119","anxy",119,"6","3","1","460.2"
"120","anxy",120,"6","3","1","375.8"
"121","cbl",1,"6","3","1","433.1"
"122","cbl",2,"10","4","1","461.9"
"123","cbl",3,"4","4","1","403.4"
"124","cbl",4,"4","4","1","359"
"125","cbl",5,"3","4","1","499.2"
"126","cbl",6,"7","3","1","407.8"
"127","cbl",7,"4","3","1","349.2"
"128","cbl",8,"5","3","1","408.9"
"129","cbl",9,"4","4","1","508.4"
"130","cbl",10,"4","3","1","392.4"
"131","cbl",11,"4","4","1","461.7"
"132","cbl",12,"3","3","1","344.7"
"133","cbl",13,"4","3","1","493.4"
"134","cbl",14,"5","3","1","355.9"
"135","cbl",15,"5","4","1","578.9"
"136","cbl",16,"6","3","1","464.4"
"137","cbl",17,"10","3","1","497.6"
"138","cbl",18,"5","4","1","616.6"
"139","cbl",19,"4","3","1","347.5"
"140","cbl",20,"4","3","1","427.9"
"141","cbl",21,"4","4","1","441.9"
"142","cbl",22,"7","3","1","503.6"
"143","cbl",23,"9","3","1","403.9"
"144","cbl",24,"4","3","1","514.5"
"145","cbl",25,"3","3","1","410.9"
"146","cbl",26,"12","4","1","536.4"
"147","cbl",27,"4","3","1","482"
"148","cbl",28,"2","4","1","405.7"
"149","cbl",29,"7","3","1","409.8"
"150","cbl",30,"3","3","1","296.7"
"151","cbl",31,"3","3","1","282.3"
"152","cbl",32,"5","3","1","581.6"
"153","cbl",33,"4","4","1","460.5"
"154","cbl",34,"4","3","1","583.9"
"155","cbl",35,"8","4","1","390"
"156","cbl",36,"3","4","1","466.8"
"157","cbl",37,"4","3","1","484.7"
"158","cbl",38,"9","3","1","478.1"
"159","cbl",39,"3","4","1","290.7"
"160","cbl",40,"7","4","1","454.6"
"161","cbl",41,"8","4","1","501.1"
"162","cbl",42,"10","3","1","534.4"
"163","cbl",43,"4","3","1","394.9"
"164","cbl",44,"5","4","1","457.8"
"165","cbl",45,"7","3","1","481.6"
"166","cbl",46,"4","4","1","565.9"
"167","cbl",47,"7","3","1","374"
"168","cbl",48,"9","3","1","501"
"169","cbl",49,"4","3","1","342.5"
"170","cbl",50,"7","3","1","481.4"
"171","cbl",51,"9","3","1","588.7"
"172","cbl",52,"8","3","1","517.6"
"173","cbl",53,"8","3","1","462.1"
"174","cbl",54,"7","4","1","505.3"
"175","cbl",55,"6","4","1","410.2"
"176","cbl",56,"6","4","1","583.8"
"177","cbl",57,"5","4","1","534.4"
"178","cbl",58,"4","3","1","319.1"
"179","cbl",59,"6","3","1","353.7"
"180","cbl",60,"4","3","1","426.8"
"181","cbl",61,"11","3","1","465.9"
"182","cbl",62,"10","3","1","518"
"183","cbl",63,"7","3","1","484.1"
"184","cbl",64,"6","3","1","473.5"
"185","cbl",65,"7","3","1","514"
"186","cbl",66,"4","3","1","330.4"
"187","cbl",67,"5","3","1","415.2"
"188","cbl",68,"4","4","1","394.7"
"189","cbl",69,"3","3","1","325.4"
"190","cbl",70,"9","3","1","436"
"191","cbl",71,"5","4","1","522.1"
"192","cbl",72,"7","3","1","431.5"
"193","cbl",73,"20","3","1","576.7"
"194","cbl",74,"4","4","1","374.8"
"195","cbl",75,"13","3","1","553"
"196","cbl",76,"4","3","1","478.5"
"197","cbl",77,"8","3","1","535.2"
"198","cbl",78,"10","4","1","490.2"
"199","cbl",79,"7","3","1","459.3"
"200","cbl",80,"5","4","1","468"
"201","cbl",81,"8","4","1","566.1"
"202","cbl",82,"3","3","1","459.7"
"203","cbl",83,"3","4","1","502.7"
"204","cbl",84,"5","4","1","616.8"
"205","cbl",85,"8","4","1","566.7"
"206","cbl",86,"5","4","1","566.4"
"207","cbl",87,"6","4","1","367.9"
"208","cbl",88,"3","3","1","306.1"
"209","cbl",89,"11","4","1","503.5"
"210","cbl",90,"5","4","1","569.9"
"211","cbl",91,"3","3","1","399.3"
"212","cbl",92,"3","4","1","419.2"
"213","cbl",93,"8","3","1","522.8"
"214","cbl",94,"5","3","1","283.7"
"215","cbl",95,"6","4","1","590.3"
"216","cbl",96,"3","4","1","415.9"
"217","cbl",97,"4","3","1","366.1"
"218","cbl",98,"4","3","1","399.9"
"219","cbl",99,"8","4","1","492.7"
"220","cbl",100,"8","4","1","465.5"
"221","cbl",101,"4","4","1","383.2"
